id,url,post,date,views,comments_count,reposts_count,reaction_count
10,https://vk.com/wall-22522055_2075004,"Побеждать в спорте — дело самых сильных. И особенно — когда речь идёт о людях с ограниченными возможностями. Они показывают нам пример великой стойкости, умения преодолевать любые трудности и стремления к активной жизни.18 марта стартовали Зимние Игры Паралимпийцев «Мы Вместе. Спорт», и Сбер стал официальным партнёром нашей сборной. Состязания будут проходить в Ханты-Мансийске до 21 марта. Вместе с российскими спортсменами в них участвуют параатлеты из Армении, Беларуси, Казахстана и Таджикистана.Вы можете поддержать благотворительный фонд «Параспорт» вместе с нами. Это вклад в будущее паралимпийского движения: http://sber.me/?p=X5dr2",18 мар в 11:27,65K,68,6,142
11,https://vk.com/wall-22522055_2074611,"В мессенджерах и соцсетях периодически всплывает слух, что Сбер повышает ставки по выданным кредитам. Это фейк! Процентная ставка по любым кредитам, которые вы у нас получали, остаётся той же, что указана в договоре.Вы в любой момент можете всё проверить — увидеть график погашения, дату ближайшего списания и процентную ставку. Зайдите в СберБанк Онлайн → Кредиты → выберите нужный кредит. Здесь вы увидите детальную информацию о нём. Или просто перейдите по ссылке: http://sberbank.ru/sms/state#стоп_фейк",17 мар в 16:07,227K,131,34,290
12,https://vk.com/wall-22522055_2074488,"Лайфхак для тех, кому нужна СберКарта Мир: её можно получить мгновенно и тут же начать пользоваться Просто выпускайте сразу Цифровую карту Мир: • всего пара кликов в приложении СберБанк Онлайн, и никаких ожиданий или походов в офис;• все те же самые условия и операции, что и по пластиковой карте — от снятия наличных до платежей и переводов;• и главное, Цифровую СберКарту Мир можно добавить в электронный кошелёк Apple Pay, SberPay, Samsung Pay или Mir Pay, чтобы привычно платить смартфоном.Инструкция о том, как оформить Цифровую СберКарту, в коротком ролике ",17 мар в 14:53,245K,172,150,240
13,https://vk.com/wall-22522055_2074427,"Один из свежих фейков: пишут, что в Сбере закончился пластик и карты Мир теперь не выдают.Это не так. Пластиковую карту Мир вы можете заказать у нас на сайте или в офисе Сбера. Сейчас на эти карты высокий спрос, поэтому сроки выпуска могут быть чуть дольше обычного. А в приложении СберБанк Онлайн можно оформить Цифровую СберКарту Мир и сразу ею пользоваться.#стоп_фейк",17 мар в 14:18,222K,105,112,382
14,https://vk.com/wall-22522055_2074052,"Если вы недавно отправляли переводы за границу в СберБанк Онлайн по ФИО и номеру телефона для выдачи наличными, попросите получателя как можно быстрее их забрать.  Такие переводы шли через нашего партнёра Western Union, он сейчас прекращает работу в России. Отправленный перевод можно получить только до 17 марта. Если за это время деньги не заберут, они автоматически вернутся на карту отправителю до 22 марта.  Сейчас перевести деньги за рубеж по номеру телефона можно безналично, с зачислением на карту или счёт в иностранном банке. Полный список доступных стран и банков есть на нашем сайте: http://sber.me/?p=sMPN6",16 мар в 16:25,205K,154,46,136
15,https://vk.com/wall-22522055_2073925,"Сейчас активно распространяется слух, что многие маркетплейсы взломаны, данные карт покупателей попали к мошенникам, и теперь они могут тратить ваши деньги в интернете. Это не соответствует действительности!Все карты СберБанка надёжно защищены по международным стандартам. Если вы привязывали карты к своим профилям в интернет-магазинах, вам не о чем беспокоиться: деньги не спишет никто, кроме вас.#стоп_фейк",16 мар в 13:00,263K,137,114,419
16,https://vk.com/wall-22522055_2073842,"Если у вашей банковской карты заканчивается срок действия, не беспокойтесь! Карты, действующие до конца марта, уже перевыпущены, и вы сможете забрать их в офисе по адресу, указанному в СберБанк Онлайн либо в СМС от банка.Мы также планируем продлить срок действия других карт, чтобы вы смогли пользоваться ими без перевыпуска. Мы сообщим об этом отдельно — пришлём СМС или уведомление в приложении СберБанк Онлайн.Напоминаем, что все карты Сбера, вне зависимости от платёжной системы, продолжают работать в России: вы можете делать переводы, платить за покупки и снимать наличные в банкоматах.",16 мар в 11:21,213K,120,64,223
17,https://vk.com/wall-22522055_2073805,"В современном мире скорость распространения информации просто невероятна, и в этом потоке всё сложнее отличить фейк от факта. Специально для вас мы подготовили небольшой тест: проверьте, знаете ли вы, как распознать неправду.",16 мар в 10:33,1.3M,37,279,2 017
18,https://vk.com/wall-22522055_2071829,"Есть клиенты, которые сейчас находятся за рубежом. Они уже знают, что карты Visa и Mastercard перестали там работать с 10 марта. Мы собрали ответы на часто задаваемые вопросы и рассказываем в карточках, какие варианты есть у тех, кому надо оплатить аренду жилья или учёбу, получить наличные или перевести деньги самому себе на счёт, доступный в стране пребывания.",11 мар в 10:03,573K,205,153,361
19,https://vk.com/wall-22522055_2070658," Мы вернём комиссию своим клиентам, которые снимают наличные за границей с 6 по 10 марта. Сумма комиссии вернётся на счёт до 18 марта включительно.Напоминаем, что Visa и Mastercard ограничивают свою работу с российскими банками, поэтому за границей картами этих систем платить не получится. Рекомендуем снять достаточно наличных и сделать предоплату за отели, билеты и другие крупные покупки. Если у вас есть карта «Мир», то она продолжит действовать в ряде стран (в Турции, Вьетнаме, Армении, Беларуси, Узбекистане, Кыргызстане, Таджикистане, Казахстане, Кипре).В России СберКарты Visa и Mastercard продолжают работать — ими можно будет платить в магазинах онлайн и офлайн. Переводы и снятие наличных тоже доступны без ограничений. Внутри страны все денежные операции идут через отечественную систему и не зависят от зарубежных платёжных решений.",9 мар в 16:48,528K,107,120,360
